"GENNME","Active_Ingredients"
"Chlorpromazine Hydrochloride","Chlorpromazine"
"Chlorpropamide","Chlorpropamide"
"Chlorthalidone","Chlorthalidone"
"Chlorzoxazone","Chlorzoxazone"
"Cholestyramine","Cholestyramine"
"Cimetidine","Cimetidine"
"Ciprofloxacin Hydrochloride","Ciprofloxacin"
"Cisplatin","Cisplatin"
"Clemastine Fumarate","Clemastine"
"Clarithromycin","Clarithromycin"
"Clindamycin Hydrochloride","Clindamycin"
"Clindamycin Palmitate Hydrochloride","Clindamycin"
"Clindamycin Phosphate","Clindamycin"
"Clobetasol Propionate","Clobetasol"
"Clocortolone Pivalate","Clocortolone"
"Clomiphene Citrate","Clomiphene"
"Clomipramine Hydrochloride","Clomipramine"
"Clonazepam","Clonazepam"
"Clonidine","Clonidine"
"Clonidine Hydrochloride","Clonidine"
"Clotrimazole","Clotrimazole"
"Clozapine","Clozapine"
"Coal Tar","Coal Tar"
"Cocaine Hydrochloride","Cocaine"
"Codeine Sulfate","Codeine"
"Colchicine","Colchicine"
"Colestipol Hydrochloride","Colestipol"
"Colistimethate Sodium","Colistimethate"
"Collagenase","Collagenase"
"Collodion","Collodion"
"Corticotropin, Repository","Corticotropin"
"Cosyntropin","Cosyntropin"
"Cromolyn Sodium","Cromolyn"
"Crotamiton","Crotamiton"
"Cyclobenzaprine Hydrochloride","Cyclobenzaprine"
"Cyclopentolate Hydrochloride","Cyclopentolate"
"Cyclopentolate HCl/Phenyleph HCl","Cyclopentolate;Phenylephrine"
"Cyclophosphamide","Cyclophosphamide"
"Cyclosporine","Cyclosporine"
"Cyproheptadine Hydrochloride","Cyproheptadine"
"Danazol","Danazol"
"Dantrolene Sodium","Dantrolene"
"Dapsone","Dapsone"
"Demeclocycline Hydrochloride","Demeclocycline"
"Desipramine Hydrochloride","Desipramine"
"Desmopressin Acetate","Desmopressin"
"Desonide","Desonide"
"Desoximetasone","Desoximetasone"
"Dexamethasone","Dexamethasone"
"Dexamethasone Sodium Phosphate","Dexamethasone"
"Dextroamphetamine Sulfate","Dextroamphetamine"
"Dextromethorphan Hydrobromide","Dextromethorphan"
"Dextrose","Dextrose"
"Dextrose/Sodium Chloride","Dextrose;Sodium"
"Diatrizoate Meglumine/Diatrizoate Sodium","Diatrizoate"
"Diazepam","Diazepam"
"Dichlorphenamide","Dichlorphenamide"
"Diclofenac Sodium","Diclofenac"
"Dicloxacillin Sodium","Dicloxacillin"
"Dicyclomine Hydrochloride","Dicyclomine"
"Diethylpropion Hydrochloride","Diethylpropion"
"Diflorasone Diacetate","Diflorasone"
"Diflunisal","Diflunisal"
"Digoxin","Digoxin"
"Aspirin/Caffeine/Dihydrocodeine Bitartrate","Acetylsalicylic Acid;Caffeine;Dihydrocodeine"
"Dihydroergotamine Mesylate","Dihydroergotamine"
"Diltiazem Hydrochloride","Diltiazem"
"Diphenhydramine Hydrochloride","Diphenhydramine"
"Atropine Sulfate/Diphenoxylate Hydrochloride","Atropine;Diphenoxylate"
"Dipyridamole","Dipyridamole"
"Disopyramide Phosphate","Disopyramide"
"Disulfiram","Disulfiram"
"Doxazosin Mesylate","Doxazosin"
"Doxepin Hydrochloride","Doxepin"
"Doxycycline Hyclate","Doxycycline"
"Dronabinol","Dronabinol"
"Econazole Nitrate","Econazole"
"Etidronate Disodium","Etidronate"
"Enalapril Maleate","Enalaprilat"
"Enalapril Maleate/Hydrochlorothiazide","Enalaprilat;Hydrochlorothiazide"
"Enoxaparin Sodium","Enoxaparin"
"Epinephrine","Epinephrine"
"Epinephrine Hydrochloride","Epinephrine"
"Epoetin Alfa","Epoetin Alfa"
"Ergocalciferol","Ergocalciferol"
"Caffeine/Ergotamine Tartrate","Caffeine;Ergotamine"
"Erythromycin","Erythromycin"
"Erythromycin Stearate","Erythromycin"
"Erythromycin Ethylsuccinate","Erythromycin"
"Estazolam","Estazolam"
"Estradiol","Estradiol"
"Estradiol Cypionate","Estradiol"
"Estradiol Valerate","Estradiol"
"Estramustine Phosphate Sodium","Estramustine"
"Conjugated Estrogens","Conjugated Estrogens"
"Esterified Estrogens","Estrogen"
"Esterified Estrogens/Methyltestosterone","Estrogen;Testosterone"
"Estropipate","Estrone"
"Ethacrynic Acid","Ethacrynic Acid"
"Ethambutol Hydrochloride","Ethambutol"
"Ethosuximide","Ethosuximide"
"Etodolac","Etodolac"
"Etoposide","Etoposide"
"Famotidine","Famotidine"
"Felodipine","Felodipine"
"Fenoprofen Calcium","Fenoprofen"
"Fentanyl","Fentanyl"
"Fentanyl Citrate","Fentanyl"
"Filgrastim","Filgrastim"
"Finasteride","Finasteride"
"Flavoxate Hydrochloride","Flavoxate"
"Flecainide Acetate","Flecainide"
"Fluconazole","Fluconazole"
"Flucytosine","Flucytosine"
"Fludrocortisone Acetate","Fludrocortisone"
"Flunisolide","Flunisolide"
"Fluocinolone Acetonide","Fluocinolone"
"Fluocinonide","Fluocinonide"
"Fluorometholone","Fluorometholone"
"Fluorouracil","Fluorouracil"
"Fluoxetine Hydrochloride","Fluoxetine"
"Fluoxymesterone","Fluoxymesterone"
"Fluphenazine Hydrochloride","Fluphenazine"
"Flurandrenolide","Flurandrenolide"
"Flurazepam Hydrochloride","Flurazepam"
"Flurbiprofen","Flurbiprofen"
"Flurbiprofen Sodium","Flurbiprofen"
"Flutamide","Flutamide"
"Fluticasone Propionate","Fluticasone"
"Folic Acid","Folic Acid"
"Formaldehyde","Formaldehyde"
"Fosinopril Sodium","Fosinoprilat"
"Furosemide","Furosemide"
"Gemfibrozil","Gemfibrozil"
"Gentamicin Sulfate","Gentamicin"
"Glipizide","Glipizide"
"Glucagon Hydrochloride","Glucagon"
"Glyburide","Glyburide"
"Glycopyrrolate","Glycopyrrolate"
"Chorionic Gonadotropin","Chorionic Gonadotropin"
"Griseofulvin, Microcrystalline","Griseofulvin"
"Griseofulvin, Ultramicrocrystalline","Griseofulvin"
"Guaifenesin","Guaifenesin"
"Codeine Phosphate/Guaifenesin","Codeine;Guaifenesin"
"Dextromethorphan Hydrobromide/Guaifenesin","Dextromethorphan;Guaifenesin"
"Guanfacine Hydrochloride","Guanfacine"
"Halcinonide","Halcinonide"
"Halobetasol Propionate","Halobetasol"
"Haloperidol","Haloperidol"
"Heparin Sodium","Heparin"
"Hepatitis B Vaccine Recombinant","Hepatitis B Vaccine"
"Homatropine Hydrobromide","Homatropine"
"Hydralazine Hydrochloride","Hydralazine"
"Hydrochlorothiazide","Hydrochlorothiazide"
"Chlorpheniramine Polistirex/Hydrocodone Polistirex","Chlorpheniramine;Hydrocodone"
"Acetaminophen/Hydrocodone Bitartrate","Acetaminophen;Hydrocodone"
"Homatropine Methylbromide/Hydrocodone Bitartrate","Homatropine Methylbromide;Hydrocodone"
"Hydrocortisone Acetate/Pramoxine Hydrochloride","Hydrocortisone;Pramoxine"
"Hydrocortisone Valerate","Hydrocortisone"
"Hydrocortisone","Hydrocortisone"
"Hydrocortisone Butyrate","Hydrocortisone"
"Clioquinol/Hydrocortisone","Clioquinol;Hydrocortisone"
"Hydrocortisone Acetate","Hydrocortisone"
"Hydrocortisone Sodium Succinate","Hydrocortisone"
"Hydromorphone Hydrochloride","Hydromorphone"
"Hydroquinone","Hydroquinone"
"Hydroxychloroquine Sulfate","Hydroxychloroquine"
"Hydroxyurea","Hydroxyurea"
"Hydroxyzine Hydrochloride","Hydroxyzine"
"Hydroxyzine Pamoate","Hydroxyzine"
"Hyoscyamine Sulfate","Hyoscyamine"
"Ibuprofen","Ibuprofen"
"Imipramine Hydrochloride","Imipramine"
"Imipramine Pamoate","Imipramine"
"Immune Globulin","Immune Globulin"
"Indapamide","Indapamide"
"Indomethacin","Indomethacin"
"Interferon Alfa-2B","Interferon Alfa-2b"
"Iodine/Potassium Iodide","Iodine;Potassium Iodide"
"Ipratropium Bromide","Ipratropium"
"APAP/Dichloralphenazone/Isometheptene Mucate","Acetaminophen;Dichloralphenazone;Isometheptene"
"Isoniazid","Isoniazid"
"Isosorbide Dinitrate","Isosorbide"
"Isosorbide Mononitrate","Isosorbide"
"Isotretinoin","Isotretinoin"
"Isradipine","Isradipine"
"Itraconazole","Itraconazole"
"Ketoconazole","Ketoconazole"
"Ketoprofen","Ketoprofen"
"Ketorolac Tromethamine","Ketorolac"
"Labetalol Hydrochloride","Labetalol"
"Lactose","Lactose"
"Ethinyl Estradiol/Levonorgestrel","Ethinyl Estradiol;Levonorgestrel"
"Leucovorin Calcium","Leucovorin"
"Levobunolol Hydrochloride","Levobunolol"
"Levorphanol Tartrate","Levorphanol"
"Lidocaine","Lidocaine"
"Lidocaine Hydrochloride","Lidocaine"
"Lidocaine/Prilocaine","Lidocaine;Prilocaine"
"Lindane","Lindane"
"Liothyronine Sodium","Liothyronine"
"Lisinopril","Lisinoprilat"
"Hydrochlorothiazide/Lisinopril","Hydrochlorothiazide;Lisinoprilat"
"Lithium Carbonate","Lithium"
"Lomustine","Lomustine"
"Loperamide Hydrochloride","Loperamide"
"Loratadine","Loratadine"
"Lorazepam","Lorazepam"
"Lovastatin","Lovastatin"
"Loxapine Succinate","Loxapine"
"Mafenide Acetate","Mafenide"
"Malathion","Malathion"
"Maprotiline Hydrochloride","Maprotiline"
"Mebendazole","Mebendazole"
"Meclizine Hydrochloride","Meclizine"
"Medroxyprogesterone Acetate","Medroxyprogesterone"
"Mefloquine Hydrochloride","Mefloquine"
"Mefenamic Acid","Mefenamic Acid"
"Megestrol Acetate","Megestrol"
"Melphalan","Melphalan"
"Mepenzolate Bromide","Mepenzolate"
"Meperidine Hydrochloride","Meperidine"
"Meprobamate","Meprobamate"
"Mercaptopurine","Mercaptopurine"
"Mesalamine","Mesalamine"
"Metaxalone","Metaxalone"
"Methadone Hydrochloride","Methadone"
"Methamphetamine Hydrochloride","Methamphetamine"
"Methazolamide","Methazolamide"
"Methenamine Hippurate","Methenamine"
"Methimazole","Methimazole"
"Methocarbamol","Methocarbamol"
"Methotrexate Sodium","Methotrexate"
"Methscopolamine Bromide","Methscopolamine"
"Methyldopa","Methyldopa"
"Methylergonovine Maleate","Methylergonovine"
"Methylphenidate Hydrochloride","Methylphenidate"
"Methylprednisolone","Methylprednisolone"
"Methylprednisolone Acetate","Methylprednisolone"
"Methylprednisolone Sodium Succinate","Methylprednisolone"
"Methyltestosterone","Testosterone"
"Metoclopramide Hydrochloride","Metoclopramide"
"Metolazone","Metolazone"
"Hydrochlorothiazide/Metoprolol Tartrate","Hydrochlorothiazide;Metoprolol"
"Metoprolol Succinate","Metoprolol"
"Metoprolol Tartrate","Metoprolol"
"Metronidazole","Metronidazole"
"Mexiletine Hydrochloride","Mexiletine"
"Miconazole Nitrate","Miconazole"
"Midazolam Hydrochloride","Midazolam"
"Minocycline Hydrochloride","Minocycline"
"Minoxidil","Minoxidil"
"Misoprostol","Misoprostol"
"Mitomycin","Mitomycin"
"Mometasone Furoate","Mometasone"
"Morphine Sulfate","Morphine"
"Mupirocin","Mupirocin"
"Nabumetone","Nabumetone"
"Bendroflumethiazide/Nadolol","Bendroflumethiazide;Nadolol"
"Naftifine Hydrochloride","Naftifine"
"Nadolol","Nadolol"
"Naloxone Hydrochloride","Naloxone"
"Naltrexone Hydrochloride","Naltrexone"
"Naphazoline Hydrochloride","Naphazoline"
"Naproxen","Naproxen"
"Naproxen Sodium","Naproxen"
"Natamycin","Natamycin"
"Bacitracin Zinc/Neomycin/Polymyxin B Sulfate","Bacitracin;Neomycin;Polymyxin B"
"Bacitracin Zn/HC/Neomycin Sulf/Polymyxin B Sulf","Bacitracin;Hydrocortisone;Neomycin;Polymyxin B"
"Dexamethasone/Neomycin Sulfate/Polymyxin B Sulfate","Dexamethasone;Neomycin;Polymyxin B"
"HC/Neomycin Sulf/Polymyxin B Sulf","Hydrocortisone;Neomycin;Polymyxin B"
"Neomycin Sulfate","Neomycin"
"Niacin","Niacin"
"Nicardipine Hydrochloride","Nicardipine"
"Nicotine","Nicotine"
"Nicotine Polacrilex","Nicotine"
"Nifedipine","Nifedipine"
"Nimodipine","Nimodipine"
"Nitrofurantoin","Nitrofurantoin"
"Nitrofurantoin, Macrocrystals","Nitrofurantoin"
"Nitroglycerin","Nitroglycerin"
"Nizatidine","Nizatidine"
"Norethindrone","Norethindrone"
"Norethindrone Acetate","Norethindrone"
"Ethinyl Estradiol/Norethindrone","Ethinyl Estradiol;Norethindrone"
"Norfloxacin","Norfloxacin"
"Nortriptyline Hydrochloride","Nortriptyline"
"Nystatin","Nystatin"
"Nystatin/Triamcinolone Acetonide","Nystatin;Triamcinolone"
"Octreotide Acetate","Octreotide"
"Ofloxacin","Ofloxacin"
"Omeprazole","Omeprazole"
"Ondansetron Hydrochloride","Ondansetron"
"Belladonna Alkaloids/Opium Alkaloids","Belladonna Alkaloids;Opium Alkaloids"
"Orphenadrine Citrate","Orphenadrine"
"Oxandrolone","Oxandrolone"
"Oxaprozin","Oxaprozin"
"Oxazepam","Oxazepam"
"Oxiconazole Nitrate","Oxiconazole"
"Oxybutynin Chloride","Oxybutynin"
"Oxycodone Hydrochloride","Oxycodone"
"Acetaminophen/Oxycodone Hydrochloride","Acetaminophen;Oxycodone"
"Papaverine Hydrochloride","Papaverine"
"Paromomycin Sulfate","Paromomycin"
"Paroxetine Hydrochloride","Paroxetine"
"Penicillin G Benzathine","Penicillin G"
"Penicillin V Potassium","Penicillin V"
"Naloxone Hydrochloride/Pentazocine Hydrochloride","Naloxone;Pentazocine"
"Pentoxifylline","Pentoxifylline"
"Permethrin","Permethrin"
"Perphenazine","Perphenazine"
"Phenazopyridine Hydrochloride","Phenazopyridine"
"Phendimetrazine Tartrate","Phendimetrazine"
"Phenelzine Sulfate","Phenelzine"
"Phenobarbital","Phenobarbital"
"Phentermine Hydrochloride","Phentermine"
"Phenylephrine Hydrochloride","Phenylephrine"
"Phenytoin","Phenytoin"
"Phytonadione","Phytonadione"
"Pilocarpine Hydrochloride","Pilocarpine"
"Pimozide","Pimozide"
"Pindolol","Pindolol"
"Piroxicam","Piroxicam"
"Podofilox","Podofilox"
"Citric Acid/Potassium Citrate","Citric Acid;Potassium Citrate"
"Potassium Phosphate, Monobasic","Potassium Phosphate"
"Potassium Chloride","Potassium Chloride"
"Dextrose/Potassium Chloride/Sodium Chloride","Dextrose;Potassium Chloride;Sodium"
"Potassium Iodide","Potassium Iodide"
"Pravastatin Sodium","Pravastatin"
"Praziquantel","Praziquantel"
"Prazosin Hydrochloride","Prazosin"
"Prednisolone","Prednisolone"
"Prednisolone Acetate","Prednisolone"
"Gentamicin Sulfate/Prednisolone Acetate","Gentamicin;Prednisolone"
"Prednisolone Sodium Phosphate","Prednisolone"
"Prednisone","Prednisone"
"Primaquine Phosphate","Primaquine"
"Primidone","Primidone"
"Probenecid","Probenecid"
"Colchicine/Probenecid","Colchicine;Probenecid"
"Procarbazine Hydrochloride","Procarbazine"
"Prochlorperazine","Prochlorperazine"
"Progesterone","Progesterone"
"DM Hydrobrom/Promethazine HCl","Dextromethorphan;Promethazine"
"Phenyleph HCl/Promethazine HCl","Phenylephrine;Promethazine"
"Promethazine Hydrochloride","Promethazine"
"Codeine Phosphate/Promethazine Hydrochloride","Codeine;Promethazine"
"Codeine Phos/Phenyleph HCl/Promethazine HCl","Codeine;Phenylephrine;Promethazine"
"Propafenone Hydrochloride","Propafenone"
"Propantheline Bromide","Propantheline"
"Proparacaine Hydrochloride","Proparacaine"
"Propranolol Hydrochloride","Propranolol"
"Hydrochlorothiazide/Propranolol Hydrochloride","Hydrochlorothiazide;Propranolol"
"Propylthiouracil","Propylthiouracil"
"Protriptyline Hydrochloride","Protriptyline"
"Pseudoephedrine Hydrochloride","Pseudoephedrine"
"Chlorpheniramine Mal/PSE HCl","Chlorpheniramine;Pseudoephedrine"
"Guaifenesin/Pseudoephedrine Hydrochloride","Guaifenesin;Pseudoephedrine"
"Pyrazinamide","Pyrazinamide"
"Pyridostigmine Bromide","Pyridostigmine"
"Pyrimethamine","Pyrimethamine"
"Quazepam","Quazepam"
"Quinapril Hydrochloride","Quinaprilat"
"Quinidine Sulfate","Quinidine"
"Quinine Sulfate","Quinine"
"Ramipril","Ramiprilat"
"Ranitidine Hydrochloride","Ranitidine"
"Rifabutin","Rifabutin"
"Rifampin","Rifampin"
"Salicylic Acid","Salicylic Acid"
"Salsalate","Salicylate"
"Secobarbital Sodium","Secobarbital"
"Selegiline Hydrochloride","Selegiline"
"Selenium Sulfide","Selenium Sulfide"
"Sertraline Hydrochloride","Sertraline"
"Silver Sulfadiazine","Silver Sulfadiazine"
"Simvastatin","Simvastatin"
"Sodium Bicarbonate","Sodium"
"Sodium Chloride","Sodium"
"Citric Acid/Sodium Citrate","Citric Acid;Citrate"
"Sodium Fluoride","Fluoride"
"Prednisolone Acetate/Sulfacetamide Sodium","Prednisolone;Sulfacetamide"
"Prednisolone Sodium Phosphate/Sulfacetamide Sodium","Prednisolone;Sulfacetamide"
"Sulfacetamide Sodium","Sulfacetamide"
"Sotalol Hydrochloride","Sotalol"
"Spironolactone","Spironolactone"
"Hydrochlorothiazide/Spironolactone","Hydrochlorothiazide;Spironolactone"
"Stannous Fluoride","Stannous Fluoride"
"Succimer","Succimer"
"Sucralfate","Sulfate"
"Ampicillin Sodium/Sulbactam Sodium","Ampicillin;Sulbactam"
"Sulconazole Nitrate","Sulconazole"
"Sulfadiazine","Sulfadiazine"
"Sulfasalazine","Sulfasalazine"
"Sulfur","Sulfur"
"Sulfacetamide Sodium/Sulfur","Sulfacetamide;Sulfur"
"Sulindac","Sulindac"
"Sumatriptan Succinate","Sumatriptan"
"Tamoxifen Citrate","Tamoxifen"
"Temazepam","Temazepam"
"Terbinafine Hydrochloride","Terbinafine"
"Terbutaline Sulfate","Terbutaline"
"Terconazole","Terconazole"
"Testosterone","Testosterone"
"Testosterone Cypionate","Testosterone"
"Testosterone Enanthate","Testosterone"
"Tetracycline Hydrochloride","Tetracycline"
"Theophylline","Theophylline"
"Thiamine","Thiamine"
"Thioguanine","Thioguanine"
"Thioridazine Hydrochloride","Thioridazine"
"Thiothixene","Thiothixene"
"Thyroid","Thyroid Extract"
"Timolol Maleate","Timolol"
"Tiopronin","Tiopronin"
"Tobramycin","Tobramycin"
"Tobramycin Sulfate","Tobramycin"
"Dexamethasone/Tobramycin","Dexamethasone;Tobramycin"
"Tolazamide","Tolazamide"
"Tolmetin Sodium","Tolmetin"
"Tranylcypromine Sulfate","Tranylcypromine"
"Trazodone Hydrochloride","Trazodone"
"Tretinoin","Tretinoin"
"Triamcinolone Acetonide","Triamcinolone Acetonide"
"Triamterene","Triamterene"
"Hydrochlorothiazide/Triamterene","Hydrochlorothiazide;Triamterene"
"Triazolam","Triazolam"
"Trientine Hydrochloride","Trientine"
"Trifluoperazine Hydrochloride","Trifluoperazine"
"Trifluridine","Trifluridine"
"Trihexyphenidyl Hydrochloride","Trihexyphenidyl"
"Trimethoprim","Trimethoprim"
"Polymyxin B Sulfate/Trimethoprim Sulfate","Polymyxin B;Trimethoprim"
"Sulfamethoxazole/Trimethoprim","Sulfamethoxazole;Trimethoprim"
"PSE HCl/Triprolidine HCl","Pseudoephedrine;Triprolidine"
"Tropicamide","Tropicamide"
"Tuberculin","Tuberculin"
"Urea","Urea"
"Ursodiol","Ursodiol"
"Valproic Acid","Valproic Acid"
"Vancomycin Hydrochloride","Vancomycin"
"Verapamil Hydrochloride","Verapamil"
"Vincristine Sulfate","Vincristine"
"Cyanocobalamin","Cyanocobalamin"
"Ascorbic Acid","Ascorbic Acid"
"Warfarin Sodium","Warfarin"
"Zinc Sulfate","Zinc"
"Zolpidem Tartrate","Zolpidem"
"Interferon Beta-1B","Interferon Beta-1b"
"Rimantadine Hydrochloride","Rimantadine"
"Piperacillin Sodium/Tazobactam Sodium","Piperacillin;Tazobactam"
"Bisoprolol Fumarate","Bisoprolol"
"Bisoprolol Fumarate/Hydrochlorothiazide","Bisoprolol;Hydrochlorothiazide"
"Lodoxamide Tromethamine","Lodoxamide"
"Haloperidol Lactate","Haloperidol"
"Diclofenac Potassium","Diclofenac"
"Prochlorperazine Maleate","Prochlorperazine"
"Gabapentin","Gabapentin"
"Dornase Alfa","Dornase Alfa"
"Risperidone","Risperidone"
"Phenytoin Sodium, Extended","Phenytoin"
"Torsemide","Torsemide"
"Venlafaxine Hydrochloride","Venlafaxine"
"Calcipotriene","Calcipotriene"
"Fluvastatin Sodium","Fluvastatin"
"Potassium Bicarbonate/Potassium Citrate","Potassium Bicarbonate;Potassium Citrate"
"Benazepril Hydrochloride/Hydrochlorothiazide","Benazepril;Hydrochlorothiazide"
"Acrivastine/Pseudoephedrine Hydrochloride","Acrivastine;Pseudoephedrine"
"Tacrolimus","Tacrolimus"
"Stavudine","Stavudine"
"Famciclovir","Famciclovir"
"Hydroxypropyl Cellulose","Hydroxypropyl Cellulose"
"Potassium Bicarbonate/Potassium Chloride","Potassium Bicarbonate;Potassium Chloride"
"Doxycycline Calcium","Doxycycline"
"Doxycycline","Doxycycline"
"Bacitracin Zinc/Polymyxin B Sulfate","Bacitracin;Polymyxin B"
"Ferrous Fumarate/Folic Acid","Ferrous;Folic Acid"
"Hydrocortisone/Iodoquinol","Hydrocortisone;Iodoquinol"
"Cyanocobalamin/Folic Acid/Iron Polysaccharide","Cyanocobalamin;Folic Acid;Iron Polysaccharide"
"Acetic Acid/Aluminum Acetate","Acetic Acid;Aluminum"
"Fluorometholone Acetate","Fluorometholone"
"Fluvoxamine Maleate","Fluvoxamine"
"Prilocaine Hydrochloride","Prilocaine"
"Gluconolactone","Gluconolactone"
"Propylene Glycol","Propylene Glycol"
"Sorbitol","Sorbitol"
"Pyridoxine","Pyridoxine"
"Citric Acid/Gluconolactone/Magnesium Carbonate","Citric Acid;Gluconolactone;Magnesium Carbonate"
"Estrone","Estrone"
"Polyethylene Glycol","Polyethylene Glycol"
"Citric Acid","Citric Acid"
"Hydroxyethyl Cellulose","Hydroxyethyl Cellulose"
"Petrolatum","Petrolatum"
"Ethanol","Ethanol"
"Carboxymethylcellulose Sodium","Carboxymethylcellulose"
"Cellulose","Cellulose"
"Peanut Oil","Peanut Oil"
"Almond Oil","Almond Oil"
"Biotin","Biotin"
"Cherry Syrup","Cherry Syrup"
"Gelatin","Gelatin"
"Glycerin","Glycerin"
"Stearic Acid","Stearic Acid"
"Glutathione","Glutathione"
"Glutamine","Glutamine"
"Betamethasone Sodium Phosphate","Betamethasone"
"Histamine Phosphate","Histamine"
"Levodopa","Levodopa"
"Sulfamethoxazole","Sulfamethoxazole"
"Hypromellose","Hypromellose"
"Nefazodone Hydrochloride","Nefazodone"
"Trichloroacetic Acid","Trichloroacetic Acid"
"Sodium Hydroxide","Hydroxide"
"Benzalkonium Chloride","Benzalkonium Chloride"
"Cream Base","Cream Base"
"Benzyl Alcohol","Benzyl Alcohol"
"Vitamin E Acetate","Vitamin E"
"Xylitol","Xylitol"
"Dehydroepiandrosterone","Dehydroepiandrosterone"
"Estriol","Estriol"
"Sodium Butyrate","Butyrate"
"Lamotrigine","Lamotrigine"
"Benzyl Benzoate","Benzyl Benzoate"
"Riboflavin","Riboflavin"
"Pregnenolone","Pregnenolone"
"Carboxymethylcellulose Sodium/Cellulose","Carboxymethylcellulose;Cellulose"
"Acetaminophen","Acetaminophen"
